ltaPrefix;oaciCode;iataCode;name
1;AAL;AA;American Airlines
3;CPZ;CP;Compass Airlines
4;BPA;BV;Blue Panorama Airlines
5;COA;CO;Continental Airlines
6;DAL;DL;Delta Airlines
10;IRP;2F;Payam Air
11;MSI;M9;Motor Sich Airlines
14;ACA;AC;AIR CANADA
16;UAL;UA;United Airlines
17;LMP;U3;Air Plus Argentina
18;DKH;HO;Juneyao Airlines
20;GEC;LH;LUFTHANSA
21;KRP;V3;Carpatair
22;LDE;5U;lineas argentinas
23;FDX;FX;FedEx Express
26;SOV;6W;SARAVIA
27;ASA;AS;Alaska Airlines
29;VTS;3K;Everts Air Cargo
30;VLG;VY;Vueling
31;PRF;PW;Precision Air
32;HCY;ZU;Helios Airways
37;AWE;US;US Airways
40;CRD;QC;CAMAIR
43;HDA;KA;Dragonair
44;ARG;AR;Aerolineas Argentinas
45;LAN;LA;Lan chile
47;TAP;TP;TAP Portugal
48;CYP;CY;Cyprus Airways
50;OAL;OA;Olympic Air
53;EIN;EI;Aer Lingus
54;APP;WL;Aeroperlas
55;AZA;AZ;Alitalia
57;AFR;AF;Air France
58;IAC;IC;Indian Airlines
60;IBS;I2;IBERIA EXPRESS
61;SEY;HM;AIR SEYCHELLES
63;ACI;SB;Aircalin
64;CSA;OK;CSA Czech Airlines
65;SVA;SV;Saudi Arabian Airlines
66;OHY;8Q;Onur Air Tasimacilik
67;AEY;I9;Air Italy
68;LAM;TM;LAM Mozambique
69;LPR;MJ;LAPA Lineas Aereas Privadas Argentinas
70;SYR;RB;Syrianair
71;ETH;ET;Ethiopian Airlines
72;GFA;GF;Gulf Air
73;IAW;IA;Iraqi Airways
74;KLM;KL;KLM
75;IBE;IB;Iberia
76;MEA;ME;Middle East Airlines - MEA
77;MSR;MS;Egyptair
78;SER;JR;Aero California
79;PAL;PR;Philippine Airlines
80;LOT;LO;LOT Polish Airlines
81;QFA;QF;Qantas Airways
82;DAT;SN;Brussels Airlines
83;SAA;SA;South African Airways Cargo
86;ANZ;NZ;Air New Zealand
88;ARD;2B;ATA Aerocondor Transportes Aéreos
90;KFR;IT;Kingfisher Airline India
92;TCX;MT;Thomas Cook Airlines
94;ASK;7W;Air Sask Aviation 1991
96;IRA;IR;Iran Air
98;AIC;AI;Air India
99;SOO;9S;Southern Air
102;HFY;5K;Hi Fly
104;EWG;EW;Eurowings
105;FIN;AY;Finnair
106;BWA;BW;Caribbean Airlines
108;ICE;FI;Icelandair
111;111;11;Cie CIN
112;CKK;CK;China Cargo Airlines
114;ELY;LY;El Al
115;JAT;JU;Air SERBIA
117;SAS;SK;SAS Norway
118;DTA;DT;TAAG Angola Airlines
119;ALM;LM;ALM Airline Inc.
120;KOR;JS;Air Koryo
122;KZW;K6;Khalifa Airways cargo
123;RON;ON;Our Airline
124;DAH;AH;Air Algérie
125;BAW;BA;British Airways
126;GIA;GA;Garuda Indonesia Airways
129;MPH;MP;Martinair
130;UKA;UK;KLCuk
131;JAL;JL;Japan Airlines
133;LRC;LR;TACA Costa Rica
134;AVA;AV;Avianca
135;VTA;VT;Air Tahiti
136;CUB;CU;Cubana de Aviacion
139;AMX;AM;Aeromexico
140;LIA;LI;LIAT
141;FDB;FZ;Flydubai
143;AUT;AU;Austral Líneas Aéreas
145;LCO;UC;Lan Cargo
146;CCM;XK;Air Corsica
147;RAM;AT;Royal Air Maroc
148;LAA;LN;Libyan Airlines
149;LGL;LG;Luxair
151;JAV;R5;Jordan Aviation
155;DHX;ES;DHL/SNAS
157;QTR;QR;Qatar Airways
159;CCC;CW;MAGMA AVIATION
160;CPA;CX;Cathay Pacific
160;CPA-2;XH;Cathay Pacific
161;CAW;MN;Comair
162;PAO;PH;Polynesian Airlines
165;ADR;JP;Adria Airways
167;AML;QM;Air Malawi
168;AZW;UM;Air Zimbabwe
169;HHN;HR;Hahn Air Lines
170;TNA;GE;TransAsia Airways
171;GBL;GT;GB Airways Ltd.
172;CLX;CV;Cargolux
173;HAL;HA;Hawaiian Airlines
176;UAE;EK;Emirates Airline
178;TFL;OR;Arke Fly
180;KAL;KE;Korean Air
181;UDN;Z6;Dniproavia
182;MAH;MA;Malev Hungarian Airlines Public Limited
185;ACE;YE;Aryan Cargo Express
186;NMB;SW;Air Namibia
187;UCR;DW;ACR Aero-Charter Airlines
191;ISS;IG;Meridiana Fly
192;SLM;PY;Surinam Airways - SLM
195;SDM;FV;Rossiya Airlines
197;ATC;TC;Air Tanzania
198;CUS;X5;Cronus Airlines
199;TAR;TU;Tunisair
200;SUD;SD;Sudan Airways Co. Ltd.
201;AJM;JM;Air Jamaica
202;TAI;TA;TACA International Airlines
204;GAA;Z5;Global Cargo service
205;ANA;NH;ANA - All Nippon Airways
206;GYA;GY;Guyana Air 2000
208;BLV;B3;Bellview Airlines Ltd.
214;PIA;PK;Pakistan International Airlines
215;ESL;P7;Russian Sky
217;THA;TG;Thai Airways International
218;AVN;NF;Air Vanuatu
220;DLH;;Lufthansa
224;RYR;FR;Ryanair
227;SWT;7J;SWIFTAIR
229;KAC;KU;Kuwait Airways
230;CMP;CM;Copa Airlines
231;LDA;NG;Lauda Air Luftfahrt AG
232;MAS;MH;Malaysia Airlines
234;JAS;JD;Japan Air System Co., Ltd
235;THY;TK;Turkish Airlines
236;BMA;BD;British Midland Airways Ltd.
238;AIZ;IZ;Arkia Israeli Airlines
239;MAU;MK;Air Mauritius
240;GUG;GU;TACA / AVIATECA
242;SBO;4E;Stabo Air
244;THT;TN;Air Tahiti Nui
247;EZX;Z7;Zimbabwe Express Airlines
248;RIG;;Riga Airlines
249;SBA;S3;SBA
250;UZB;HY;Uzbekistan Airways
252;SUF;PI;Sunflower Airlines Ltd.
254;PJZ;OJ;PREMIUM Jet
255;AFG;FG;Ariana Afghan Airlines
257;AUA;OS;Austrian / Tyrolean
258;MDG;MD;Air Madagascar
259;SYG;YD;SYNERGY AVIATION
260;FJI;FJ;FIJI AIRWAYS
262;SVR;U6;Ural Airlines
267;BEE;BE;Flybe
269;TAE;EQ;TAME Linea Aerea Del Ecuador
272;CKS;K4;Kallita Air
277;VLK;XF;Vladivostok Air
279;JBU;B6;JetBlue Airways
281;ROT;RO;TAROM
283;MLV;RM;Air Moldova International S.A.
284;BOS;EC;Open Skies
285;RNA;RA;Nepal Airlines
286;PUA;PU;PLUNA
288;AHK;LD;Air Hong Kong
289;MGL;OM;MIAT - Mongolian Airlines
291;ORB;R2;Orenair
292;SWG;WG;Sunwing
297;CAL;CI;China Airlines
298;UTA;UT;UTair Aviation
301;GAK;5S;Global Aviation and Services
304;CEL;C2;Ceiba Intercontinental
307;CWC;WE;Centurion Air Cargo
308;VCV;V0;Conviasa
316;AUL;5N;Nordavia
318;ABD;CC;Air Atlanta Icelandic
321;SLT;QA;STARLIGHT
324;CDG;SC;SHANDONG AIRLINES
327;AAH;AQ;Aloha Airlines Inc.
328;NAX;DY;Norwegian Air Shuttle
331;RZO;S4;SATA International
336;EAC;7A;EXPRESS AIR CARGO
341;EEA;EU;Ecuatoriana de Aviacion S.A.
342;POT;YQ;Polet Airlines Russia
356;ICV;C8;Cargolux Italia
367;MAK;IN;Macedonian Airlines
369;GTI;5Y;Atlas Air
372;RFJ;RL;Royal Falcon Airlines
377;WOW;WW;WOW AIR
379;LBY;LZ;Belle Air
390;AEE;A3;Aegean Airlines
391;MBN;Q3;Zambian Airways
393;SYA;FS;SYPHAX AIRLINES
403;PAC;PO;Polar Air Cargo
404;APW;JW;Arrow Air
406;UPS;5X;UPS Airlines
409;MGX;YM;Montenegro Airlines
411;AYZ;3G;Atlant -Soyuz Airlines
412;VDA;VI;Volga-Dnepr Airlines
413;SMR;SZ;SOMON AIR
416;NCR;N8;National Airlines United states
417;BRC;E6;Bringer Air Cargo
421;SBI;S7;S7 Airlines
424;MGD;MG;Miami Airlease
427;FWI;TX;Air Caraibes
429;RDN;D7;Dinar Lineas Aereas S.A.
429;MEV;VL;MEDVIEW AIRLINES
431;LTU;LT;AIR LITUANICA
436;LAJ;KJ;British Mediteranean
438;ADE;ZY;Ada Air
439;AAF;ZI;Aigle Azur
440;SGG;DN;Senegal Airways
445;NZM;NM;Mount Cook Airlines
452;MAC;3O;Air Arabia Maroc
453;MEP;YX;Midwest Airlines
462;LNE;XL;LAN Ecuador
463;AZQ;ZP;Silk Way Airlines
465;KZR;KC;Air Astana
469;DSM;4M;Lan Argentina
473;XLF;SE;XL Airways
474;IBB;NT;Binter Canarias
475;ECA;UI;Eurocypria Airlines
479;CSZ;ZH;Shenzhen Airlines
480;IDE;DH;Independence Air
485;ACP;8V;Astral Aviation
489;CJT;W8;Cargojet Airways
494;EIA;EZ;Evergreen International Airlines
495;MAI;L6;MAURITANIAN AIRLINES
496;SRL;SM;Swedline Express
501;AZG;7L;SILK WEST
509;RZL;Z9;Aero Zambia
512;RJA;RJ;Royal Jordanian Airlines
513;MKA;7G;MK Airlines Limited.
519;NAB;NO;Niger Air Cargo
529;CIU;A2;Cielos Airlines
530;TPU;T0;TACA Peru
532;RSO;E4;Aero Asia International
534;RMV;WQ;Romavia
536;SKG;GV;SKY GABON
537;IRM;W5;MAHAN AIR
540;PSD;TO;President Airlines
542;TUA;T5;Turkmenistan Airlines
544;LPE;LP;LAN Peru
546;AAW;8U;Afriqiyah Airways
551;MMZ;YU;Euroatlantic Airways
555;AFL;SU;Aeroflot-Russian Airlines
556;TRQ;6N;Trans Travel Airlines
558;FPO;5O;Europ Airpost
559;DCE;K8;Dutch Caribbean Airline
560;CLU;P3;CARGOLOGICAIR
564;SXS;XQ;SunExpress
566;AUI;PS;Ukraine International Airlines
572;MLD;9U;Air Moldova
574;AJK;4W;Allied Air Limited
575;COY;7C;Coyne Airways
576;KYE;GG;Sky Lease Cargo
578;OEA;OX;Orient Thai Airlines
580;ABW;RU;AIRBRIDGECARGO
588;SPO;N1;Bridges Worldwide Express
589;JAI;9W;Jet Airways
592;CYH;3Q;China Yunnan Airlines
596;CMI;CS;Continental Micronesia, Inc.
